timestamp,open,high,low,close,volume
2023-01-01,100,101,99,100,10000
2023-01-02,101,102,100,101,10000
2023-01-03,102,103,101,102,10000
2023-01-04,103,104,102,103,10000
2023-01-05,104,105,103,104,10000
2023-01-06,105,106,104,105,10000
2023-01-07,104,105,103,104,10000
2023-01-08,103,104,102,103,10000
2023-01-09,102,103,101,102,10000
2023-01-10,101,102,100,101,10000
2023-01-11,100,101,99,100,10000
2023-01-12,99,100,98,99,10000
2023-01-13,98,99,97,98,10000
2023-01-14,97,98,96,97,10000
2023-01-15,98,99,97,98,10000
2023-01-16,99,100,98,99,10000
2023-01-17,100,101,99,100,10000
2023-01-18,101,102,100,101,10000
2023-01-19,102,103,101,102,10000
2023-01-20,103,104,102,103,10000
2023-01-21,104,105,103,104,10000
2023-01-22,105,106,104,105,10000
2023-01-23,106,107,105,106,10000
2023-01-24,105,106,104,105,10000
2023-01-25,104,105,103,104,10000
2023-01-26,103,104,102,103,10000
2023-01-27,102,103,101,102,10000
2023-01-28,101,102,100,101,10000
2023-01-29,100,101,99,100,10000
2023-01-30,99,100,98,99,10000
